Titolo,Link,Età,Descrizione,Tipo,Difficoltà,Durata,Lingua,Keywords
 Project - App Presentation,https://studio.code.org/s/csd4-2022/lessons/21,14+,Question of the Day: How can I present the steps in our design process to people outside of our team?,Quiz,Difficile,120,Inglese,"['people outside', 'design process', 'team', 'steps', 'question']"
t-Project TestPo,https://studio.code.org/s/csd4-2022/lessons/22,14+,This level appears at the end of every unit. Please have your students complete this survey at the end of their final unit! Students only need to take the survey once at the end of the course.,Testo,Facile,0-30,Inglese,"['level appears', 'final unit', 'every unit', 'students complete', 'students']"
Representation Matters,https://studio.code.org/s/csd5-2022/lessons/1,14+,Question of the Day: How does data affect decisions we make every day?,Testo,Media,30-60,Inglese,"['data affect decisions', 'make every day', 'day', 'question']"
Patterns and Representation,https://studio.code.org/s/csd5-2022/lessons/2,14+,Question of the Day: How can we create a system for representing information?,Testo,Media,30-60,Inglese,"['representing information', 'system', 'question', 'day', 'create']"
ASCII and Binary Representation,https://studio.code.org/s/csd5-2022/lessons/3,14+,Question of the Day: What system do computers use to represent letters and words?,Testo,Media,30-60,Inglese,"['represent letters', 'computers use', 'words', 'system', 'question']"
Representing Images,https://studio.code.org/s/csd5-2022/lessons/4,14+,Question of the Day: What system do computers use to represent images?,Esercizi,Media,30-60,Inglese,"['represent images', 'computers use', 'system', 'question', 'day']"
Representing Numbers,https://studio.code.org/s/csd5-2022/lessons/5,14+,Question of the Day: What system do computers use to represent numbers?,Video,Media,30-60,Inglese,"['represent numbers', 'computers use', 'system', 'question', 'day']"
Combining Representations,https://studio.code.org/s/csd5-2022/lessons/6,14+,"Question of the Day: How do computers tell the difference between binary codes for letters, numbers, or images?",Esercizi,Media,30-60,Inglese,"['computers tell', 'binary codes', 'question', 'numbers', 'letters']"
Keeping Data Secret,https://studio.code.org/s/csd5-2022/lessons/7,14+,Question of the Day: How can we keep data secret and protect it from misuse?,Testo,Media,30-60,Inglese,"['keep data secret', 'question', 'protect', 'misuse', 'day']"
Project - Create a Representation,https://studio.code.org/s/csd5-2022/lessons/8,14+,Question of the Day: How can I represent complex information using binary systems?,Quiz,Media,30-60,Inglese,"['represent complex information using binary systems', 'question', 'day']"
Problem Solving With Data,https://studio.code.org/s/csd5-2022/lessons/9,14+,Question of the Day: How can we use data to solve problems in our community?,Testo,Media,30-60,Inglese,"['use data', 'solve problems', 'question', 'day', 'community']"
 Structuring Data,https://studio.code.org/s/csd5-2022/lessons/10,14+,Question of the Day: how can we make it easier for computers to process data?,Esercizi,Media,30-60,Inglese,"['process data', 'question', 'make', 'easier', 'day']"
 Interpreting Data,https://studio.code.org/s/csd5-2022/lessons/11,14+,Question of the Day: How can patterns in data help us make decisions?,Testo,Media,30-60,Inglese,"['data help us make decisions', 'question', 'patterns', 'day']"
 Making Decisions with Data,https://studio.code.org/s/csd5-2022/lessons/12,14+,Question of the Day - how can patterns in data help make a decision?,Testo,Media,30-60,Inglese,"['data help make', 'question', 'patterns', 'decision', 'day']"
 Automating Data Decisions,https://studio.code.org/s/csd5-2022/lessons/13,14+,Question of the Day: How can computers help us make decisions about data?,Testo,Media,30-60,Inglese,"['computers help us make decisions', 'question', 'day', 'data']"
 Problem Solving with Big Data,https://studio.code.org/s/csd5-2022/lessons/14,14+,Question of the Day: How is our data collected and why is it useful?,Video,Media,30-60,Inglese,"['data collected', 'useful', 'question', 'day']"
 Data and Machine Learning,https://studio.code.org/s/csd5-2022/lessons/15,14+,"Question of the Day: How can machines ""learn""?",Video,Media,30-60,Inglese,"['learn ""?', 'question', 'machines', 'day']"
 Project - Make a Recommendation,https://studio.code.org/s/csd5-2022/lessons/16,14+,Question of the Day: How can I use data to make my own recommendations?,Quiz,Difficile,120,Inglese,"['use data', 'recommendations', 'question', 'make', 'day']"
t-Project TestPo,https://studio.code.org/s/csd5-2022/lessons/17,14+,This level appears at the end of every unit. Please have your students complete this survey at the end of their final unit! Students only need to take the survey once at the end of the course.,Testo,Facile,0-30,Inglese,"['level appears', 'final unit', 'every unit', 'students complete', 'students']"
Innovations in Computing,https://studio.code.org/s/csd6-2022/lessons/1,14+,"In this lesson, students will do some research into interesting innovations in computing. This lesson will expose students to a wider variety of computing form factors (what a computer looks like) and fields that are impacted by computing. Later in this unit students will look back on the devices they encountered in this lesson as they develop their own physical computing devices.",Testo,Media,30-60,Inglese,"['computer looks like', 'computing form factors', 'physical computing devices', 'wider variety', 'look back']"
The Circuit Playground,https://studio.code.org/s/csd6-2022/lessons/2,14+,"In this lesson students get their first opportunity to write programs that use the Circuit Playground. After first inspecting the board visually and hypothesizing possible functionalities, students move online where they will learn to write applications that control an LED and use a buzzer to make sounds. By combining App Lab screens with the Circuit Playgrounds, students can gradually start to integrate elements of the board as an output device while relying on App Lab for user input.",Esercizi,Media,30-60,Inglese,"['combining app lab screens', 'hypothesizing possible functionalities', 'students move online', 'lesson students get', 'app lab']"
Updating Screen Elements,https://studio.code.org/s/csd6-2022/lessons/3,14+,"Students should already be familiar with programming in App Lab, specifically using Design Mode to create screen elements and using onEvent blocks to create button click events. To expand the kinds of apps that students can make, and to encourage them to think in new ways about how users interact with apps, we introduce the setProperty() and setText() blocks that allow users to change the properties and content of various UI elements. In this lesson students explore how they can use events to update elements on the screen",Esercizi,Media,30-60,Inglese,"['specifically using design mode', 'create button click events', 'using onevent blocks', 'various ui elements', 'settext () blocks']"
Board Events,https://studio.code.org/s/csd6-2022/lessons/4,14+,"This lesson transitions students from considering the Circuit Playground as strictly an output device and instead introduces the buttons and toggle switches as tools for input. Starting with the hardware buttons and switch, students learn to use onBoardEvent(), analogously to onEvent(), in order to take input from their Circuit Playgrounds.",Esercizi,Media,30-60,Inglese,"['use onboardevent (), analogously', 'lesson transitions students', 'onevent (),', 'students learn', 'toggle switches']"
Variables and If Statements,https://studio.code.org/s/csd6-2022/lessons/5,14+,"In this lesson, students are introduced to variables, the counter pattern, and if-statements. Students will use these concepts in the context of programming the circuit playground and creating more complex input/output behaviors, such as counting the number of button presses before having the circuit playground make a noise. The concepts in this lesson are used to make more complex and fulfilling apps in future lessons, and students may need to refer back to the videos and examples in this lesson as they continue to master these concepts.",Video,Media,30-60,Inglese,"['students may need', 'circuit playground make', 'circuit playground', 'refer back', 'output behaviors']"
Mini-Project: Field Collector App,https://studio.code.org/s/csd6-2022/lessons/6,14+,"In this mini-project, students will use the Circuit Playground to collect data, then use App Lab to analyze the data that was collected. This is similar to citizen science fieldwork or survey apps where a person collects data on a device ""in the field"", then returns to a central location to view and analyze the data (such as cataloguing endangered species in the wild). Students will use variables and events to collect data from the circuit playground, then use if-statements to make decisions or recommendations based on the data they collect.",Esercizi,Difficile,90-120,Inglese,"['citizen science fieldwork', 'cataloguing endangered species', 'use app lab', 'person collects data', 'wild ).']"
Color LEDs,https://studio.code.org/s/csd6-2022/lessons/7,14+,"In this lesson, students learn how to use the 10 color LEDs on the Circuit Playground. Students will control the color and intensity of each LED, then use what they have learned to program light patterns to create a light show on their Circuit Playground.",Esercizi,Media,30-60,Inglese,"['program light patterns', '10 color leds', 'light show', 'circuit playground', 'circuit playground']"
Getting Screen Inputs,https://studio.code.org/s/csd6-2022/lessons/8,14+,"Students learn to use several new design elements - text inputs, dropdowns, and sliders - so they can get user input from the screen of their apps. This lesson also introduces students to the getProperty and getText blocks, which allow them to access their user input in their code. Students first practice using these tools to determine what the user has input in various user interface elements. Students later use getProperty and setProperty together with the counter pattern to make elements move across the screen. A new event trigger, change, is also introduced to represent when a dropdown or slider changes values.",Esercizi,Media,30-60,Inglese,"['use several new design elements', 'make elements move across', 'students first practice using', 'various user interface elements', 'students later use getproperty']"
Combining Inputs and Outputs,https://studio.code.org/s/csd6-2022/lessons/9,14+,"In this lesson, students combine inputs and outputs across both the circuit playground and the app screen. For example, students may use dropdowns or sliders to make the LEDs on the circuit playground change. Or, students may use the buttons on the circuit playground to update elements on the screen. This lesson also extends how students use variables and if-statements to make more complex decisions based on user input. There are no new coding commands or circuit playground features in this lesson, but students are combining many elements from previous lessons in new ways.",Esercizi,Media,30-60,Inglese,"['students may use dropdowns', 'students may use', 'students use variables', 'complex decisions based', 'students combine inputs']"
 Project: Human Device Interaction,https://studio.code.org/s/csd6-2022/lessons/10,14+,"In this project, students create an app that controls the Circuit Playground so it interacts with the physical environment around it, similar to many smart phone apps that are used to control devices in a house or car or school. Students use physical materials to help design their physical device, then create an app that lets the user interact with the physical device or change settings. ",Quiz,Difficile,120,Inglese,"['many smart phone apps', 'students use physical materials', 'physical environment around', 'physical device', 'physical device']"
 Board Sensors,https://studio.code.org/s/csd6-2022/lessons/11,14+,"In this lesson, students explore how the three sensors (sound, light, and temperature) can be used to write programs that respond to changes in the environment. The use of these sensors marks a transition in terms of how users interact with a program. By using sensors as an input, the user of an app doesn't have to directly interact with it at all or may interact without actually realizing they are doing so.",Esercizi,Media,30-60,Inglese,"['may interact without actually realizing', 'users interact', 'directly interact', 'write programs', 'using sensors']"
 Accelerometer,https://studio.code.org/s/csd6-2022/lessons/12,14+,"In this lesson, students will explore the accelerometer and its capabilities. They’ll become familiar with its events and properties, as well as create multiple programs utilizing the accelerometer similar to those they’ve likely come across in real world applications.",Esercizi,Media,30-60,Inglese,"['create multiple programs utilizing', 'real world applications', 'likely come across', 'become familiar', 'accelerometer similar']"
 Making Music,https://studio.code.org/s/csd6-2022/lessons/13,14+,"In this lesson students will use the buzzer to its full extent by producing sounds, notes, and songs with the buzzer. Students start with a short review of the buzzer's frequency and duration parameters, then move on to the concept of notes. Notes allow students to constrain themselves to frequencies that are used in Western music and provide a layer of abstraction that helps them to understand which frequencies might sound good together. Once students are able to play notes on the buzzer, they use arrays to hold and play sequences of notes, forming simple songs.",Video,Media,30-60,Inglese,"['frequencies might sound good together', 'forming simple songs', 'notes allow students', 'western music', 'students start']"
 Functions,https://studio.code.org/s/csd6-2022/lessons/14,14+,"This lesson introduces students to functions as way to organize and group repeated blocks of code together, such as changing all of the LEDs to red or blue. Then, students learn how to use parameters in their functions as a way to generalize behaviors to work for different contexts - for example, changing all the LEDs to a certain color rather than always changing them red or blue. Students will use these concepts in future lessons, and it may be necessary to return to this lesson to reference the resources and videos.",Video,Media,30-60,Inglese,"['group repeated blocks', 'certain color rather', 'lesson introduces students', 'students learn', 'generalize behaviors']"
 Mini-Project: Interactive Art,https://studio.code.org/s/csd6-2022/lessons/15,14+,"In this lesson, students create a piece of interactive artwork using the sensors on the Circuit Playground and physical materials. Students explore how the Circuit Playground can augment physical materials to create an interactive experience. This project does not use the App Lab screen except to help with debugging - otherwise, users only interact with the physical artwork itself.",Esercizi,Difficile,90-120,Inglese,"['app lab screen except', 'interactive artwork using', 'augment physical materials', 'physical materials', 'physical artwork']"
 Physical Outputs and LEDs,https://studio.code.org/s/csd6-2022/lessons/16,14+,"In this lesson, students learn how to attach external LEDs to their circuit playground and use code to light up these LEDs. This allows students to create more flexible devices that mimic real-world products. This lesson requires several external materials, as well as safety protocols to ensure students don’t accidentally damage their circuit playground.",Esercizi,Difficile,90-120,Inglese,"['lesson requires several external materials', 'attach external leds', 'world products', 'use code', 'students learn']"
 Physical Inputs and Buttons,https://studio.code.org/s/csd6-2022/lessons/17,14+,"In this lesson, students learn how to connect external wires to create input events when the wires touch, simulating a button press. Students learn to use code to recognize these external button events to make changes to their app. This allows students to create more flexible devices that mimic real-world products. This lesson requires several external materials, as well as safety protocols to ensure students don’t accidentally damage their circuit playground.",Esercizi,Difficile,90-120,Inglese,"['lesson requires several external materials', 'external button events', 'connect external wires', 'create input events', 'wires touch']"
 Project - Prototype an Innovation,https://studio.code.org/s/csd6-2022/lessons/18,14+,"In this final project for the course, students team to develop and test a prototype for an innovative computing device based on the Circuit Playground. Using the inputs and outputs available on the board, groups will create programs that allow for interesting and unique user interactions. ",Quiz,Difficile,120,Inglese,"['innovative computing device based', 'unique user interactions', 'students team', 'outputs available', 'final project']"
t-Project TestPo,https://studio.code.org/s/csd6-2022/lessons/19,14+,This level appears at the end of every unit. Please have your students complete this survey at the end of their final unit! Students only need to take the survey once at the end of the course.,Testo,Facile,0-30,Inglese,"['level appears', 'final unit', 'every unit', 'students complete', 'students']"
Introduction to Machine Learning,https://studio.code.org/s/csd7-2022/lessons/1,14+,In this lesson students are introduced to a form of artificial intelligence called machine learning and how they can use the Problem Solving Process to help train a robot to solve problems. They participate in three machine learning activities where a robot - A.I. Bot - is learning how to detect patterns in fish.,Quiz,Media,30-60,Inglese,"['artificial intelligence called machine learning', 'three machine learning activities', 'problem solving process', 'solve problems', 'lesson students']"
Types of Machine Learning,https://studio.code.org/s/csd7-2022/lessons/2,14+,"In this lesson students will consider how they create “mental” models when learning new concepts, and how those can be similar to a “machine learning” model. They participate in a color pattern activity to simulate building a machine learning model without help, then they play a game called ""Green Glass Door"" as an example of supervised learning, and finally, they will sort several scenarios into “supervised” or “unsupervised” learning.",Esercizi,Media,30-60,Inglese,"['machine learning model without help', 'create “ mental ” models', '“ machine learning ” model', '“ unsupervised ” learning', '“ supervised ”']"
Innovations in AI,https://studio.code.org/s/csd7-2022/lessons/3,14+,"In this lesson, students explore an application of AI called Seeing AI and examine how it is supporting people with visual impairments. Then, students research other examples of how AI is impacting society, focusing on users who are impacted by the examples they find. Finally, students share their findings with each other.",Testo,Media,30-60,Inglese,"['ai called seeing ai', 'visual impairments', 'supporting people', 'students share', 'students research']"
Patterns in Data,https://studio.code.org/s/csd7-2022/lessons/4,14+,"In this lesson students will examine several apps that make decisions about what shoes to wear, ultimately building up to an understanding of how machine learning can help make this decision. Students are guided to the conclusion that surveying their users can help them make the best decision by looking for patterns in the data and basing their decisions on these patterns.",Testo,Media,30-60,Inglese,"['examine several apps', 'ultimately building', 'machine learning', 'lesson students', 'best decision']"
Classification Models,https://studio.code.org/s/csd7-2022/lessons/5,14+,"In this lesson students will participate in an unplugged activity simulating one of the machine learning algorithms computers use to separate data into groups to help make decisions. Students will be tasked with helping a computer learn to classify food as fruits or vegetables, graph 20 different fruits on two axes comparing “sweetness” to “easy to eat”, and then try to separate the data into groups - a fruit area, and a veggie area.",Testo,Media,30-60,Inglese,"['two axes comparing “ sweetness ”', 'machine learning algorithms computers use', 'unplugged activity simulating one', 'graph 20 different fruits', 'help make decisions']"
Introduction to AI Lab,https://studio.code.org/s/csd7-2022/lessons/6,14+,"In this lesson students will dive into the AI Lab tool for the first time, where they select features to train a model that predicts a given label. They start by exploring AI Lab and training a model to recognize shapes. Then they pretend they have been hired by several restaurants who would like to make recommendations to new customers based on survey data they’re collected, go through each dataset, and use data visualization tools to identify features with high relationships in the data.",Esercizi,Media,30-60,Inglese,"['use data visualization tools', 'new customers based', 'exploring ai lab', 'ai lab tool', 'survey data']"
Importing Models in App Lab,https://studio.code.org/s/csd7-2022/lessons/7,14+,"In this lesson students are introduced to importing their models into App Lab and linking their model to their screens. They help create a book recommendation app and learn how to add a welcome screen and events to their code. This lesson assumes students are already familiar with App Lab - for classrooms that have not seen App Lab before, consider extending this lesson and including additional videos or activities that are recommended in the lesson plan.",Esercizi,Media,30-60,Inglese,"['including additional videos', 'book recommendation app', 'seen app lab', 'lesson assumes students', 'app lab']"
Model Cards,https://studio.code.org/s/csd7-2022/lessons/8,14+,"In this lesson, students will investigate a model for bias and be introduced to a Model Card, which is a way of representing important information about a trained model that could help uncover bias. They will be investigating a Medical Priority app, which helps a hospital decide how soon to view patients based on their symptoms. As students go through the activity, they realize that the app is biased based on personal information and examine how this could happen.",Testo,Media,30-60,Inglese,"['could help uncover bias', 'view patients based', 'representing important information', 'medical priority app', 'could happen']"
Saving Models in AI Lab,https://studio.code.org/s/csd7-2022/lessons/9,14+,"Students complete the full process of training and saving a model, then importing into App Lab. For the first time, students are able to choose the label they would like to predict and spend time deciding the features they will use to help predict their label of choice. Students also create a model card for their models in order to save them and import it into App Lab",Esercizi,Media,30-60,Inglese,"['spend time deciding', 'students also create', 'first time', 'would like', 'students complete']"
 Model Cards in App Lab,https://studio.code.org/s/csd7-2022/lessons/10,14+,"In this lesson, students practice importing their models into App Lab, this time including models that have numerical data and using model cards to help improve the user experience of filling out their form. They will then learn how to view the model card within App Lab and use this to add more descriptive elements to an app. Next, they focus on improving the user experience by adding informational text to help guide users through completing the form and adding a style to their app to improve the user experience.",Testo,Media,30-60,Inglese,"['model card within app lab', 'using model cards', 'students practice importing', 'help guide users', 'time including models']"
 Numerical Models,https://studio.code.org/s/csd7-2022/lessons/11,14+,"In this lesson, students participate in an unplugged activity simulating a zombie outbreak. Students must predict which parts of town have the least amount of zombies using data from a neighboring town. Students will use degrees of similarity and averages to make predictions about the number of zombies at a particular location. Then, students are rescued and get to compare their predictions to the actual numbers as a way to discuss how accuracy is different for numerical data compared to categorical data.",Testo,Media,30-60,Inglese,"['unplugged activity simulating', 'numerical data compared', 'students must predict', 'zombies using data', 'categorical data']"
 Numerical Data in AI Lab,https://studio.code.org/s/csd7-2022/lessons/12,14+,"In this lesson, students will be introduced to numerical data which represents a range of values. Students are presented with a scenario where every feature and label is represented with numerical data, and they learn to use the new data visualization tools within AI Lab to help find patterns.",Esercizi,Media,30-60,Inglese,"['new data visualization tools within ai lab', 'help find patterns', 'numerical data', 'numerical data', 'every feature']"
 Customizing Apps,https://studio.code.org/s/csd7-2022/lessons/13,14+,"In this lesson, students will explore how to customize the code of their app to make additional changes to the design of their app. They will start by exploring a single-screen app and then practice expanding the app to two-screens and updating the code to use the new design mode elements. After this, students help create a Driver Alert app that requires changes to the code using new design mode elements. Using the skills from this lesson, students will be able to create multi-screen apps where questions can appear on multiple screens instead of a single screen.",Esercizi,Media,30-60,Inglese,"['code using new design mode elements', 'new design mode elements', 'make additional changes', 'multiple screens instead', 'driver alert app']"
 AI Code of Ethics,https://studio.code.org/s/csd7-2022/lessons/14,14+,"In small groups, students conduct research using articles and videos that expose ethical pitfalls in an Artificial Intelligence (AI) area of their choice. Afterward, each group develops at least one solution-oriented principle that addresses their chosen area. These principles are then assembled into a class-wide “Our AI Code of Ethics” resource (e.g. a slide presentation, document, or webpage) for AI creators and legislators everywhere.",Testo,Media,30-60,Inglese,"['students conduct research using articles', 'least one solution', 'expose ethical pitfalls', 'ethics ” resource', 'wide “']"
 Project: Make a Machine Learning App,https://studio.code.org/s/csd7-2022/lessons/15,14+,"In this one or two day project, students apply their skills from the unit so far and create a machine learning app using real-world data. Students are provided with several real-world datasets from a variety of contexts, and they choose which dataset they would like to investigate. They train and save their model, then make a simple App Lab app that uses the model. This mini-project is an opportunity to assess how well students can use features to create accurate machine learning models, and how well they can create apps that use machine learning.",Quiz,Media,30-60,Inglese,"['machine learning app using real', 'create accurate machine learning models', 'simple app lab app', 'use machine learning', 'two day project']"
 Issue Statements,https://studio.code.org/s/csd7-2022/lessons/16,14+,"This is the first of a five-day sequence of lessons that prepare students for the final project. In this lesson, students meet a team of fictional students who want to use machine learning to address an issue in their community. Students participate in an issue brainstorm using the 5 Why's strategy, then they help evaluate the ideas that the other student team came up with. The steps students take in this lesson are identical to the steps students will take in their final project.",Testo,Media,30-60,Inglese,"['use machine learning', 'student team came', 'issue brainstorm using', 'steps students take', 'steps students']"
 Survey Planning,https://studio.code.org/s/csd7-2022/lessons/17,14+,"This is the second in a five-day sequence of lessons that prepare students for the final project. In this lesson, students learn that the other team of students would like to create a club recommender app based on the clubs at their school. Students imagine what questions would be most useful to help make this recommendation, then they learn how to use a Google Form template to create a survey. The steps students take in this lesson are identical to the steps students will take in their final project.",Testo,Media,30-60,Inglese,"['club recommender app based', 'google form template', 'students would like', 'steps students take', 'steps students']"
 Survey Data in AI Lab,https://studio.code.org/s/csd7-2022/lessons/18,14+,"This is the third in a five-day sequence of lessons that prepare students for the final project. In this lesson, students learn how to view survey data in Google Sheets and save the data to their computer as a csv file. Then, they upload the saved data to AI Lab and examine the survey results from one of the students to train a model using their data. Then, students use Google Sheets to examine data from another student where the data has errors and then try to fix the errors. The steps students take in this lesson are identical to the steps students will take in their final project, and the problem-solving strategies they develop will help them overcome challenges in their own final project.",Testo,Media,30-60,Inglese,"['students use google sheets', 'view survey data', 'steps students take', 'google sheets', 'steps students']"
 Troubleshooting Models,https://studio.code.org/s/csd7-2022/lessons/19,14+,"This is the fourth of a five-day sequence of lessons that prepare students for the final project. In this lesson, students examine survey data from other members of the student team and analyze why their models are not working correctly. In examining the data, students develop strategies for avoiding these issues in the future and strategies for coping with these issues should they happen again. These are skills students will use in the final project as they develop their own surveys and collect data.",Esercizi,Media,30-60,Inglese,"['students examine survey data', 'students develop strategies', 'skills students', 'prepare students', 'collect data']"
 Creating an App,https://studio.code.org/s/csd7-2022/lessons/20,14+,"This is the fifth of a five-day sequence of lessons that prepare students for the final project. In this lesson, students import the club recommender app into App Lab and begin customizing the app. Students add a welcome screen and update the descriptions of each feature, then they can decide how they would like to further customize the app. The steps students take in this lesson are identical to the steps students will take in their final project.",Esercizi,Media,30-60,Inglese,"['club recommender app', 'steps students take', 'steps students', 'students import', 'students add']"
 Project - Design an AI App,https://studio.code.org/s/csd7-2022/lessons/21,14+,"To conclude this unit, students develop an AI app that addresses the social issue of their interest. Students follow a project guide to complete this multi-day activity. In the first step, students prepare the data they will use to train their model in AI Lab. After training, testing, and generating a model card, they export their model into App Lab for development. Here they use their model to create a user-friendly app. Students perform a peer review and make any necessary updates to their projects while reflecting on the outcome.",Quiz,Difficile,120,Inglese,"['students prepare', 'students perform', 'students follow', 'students develop', 'social issue']"
 CS Discoveries Post-Course Survey,https://studio.code.org/s/csd7-2022/lessons/22,14+,This level appears at the end of every unit. Please have your students complete this survey at the end of their final unit! Students only need to take the survey once at the end of the course.,Testo,Facile,0-30,Inglese,"['level appears', 'final unit', 'every unit', 'students complete', 'students']"
Introduction to Machine Learning,https://studio.code.org/s/aiml-2022/lessons/1,14+,In this lesson students are introduced to a form of artificial intelligence called machine learning and how they can use the Problem Solving Process to help train a robot to solve problems. They participate in three machine learning activities where a robot - A.I. Bot - is learning how to detect patterns in fish.,Quiz,Media,30-60,Inglese,"['artificial intelligence called machine learning', 'three machine learning activities', 'problem solving process', 'solve problems', 'lesson students']"
Types of Machine Learning,https://studio.code.org/s/aiml-2022/lessons/2,14+,"In this lesson students will consider how they create “mental” models when learning new concepts, and how those can be similar to a “machine learning” model. They participate in a color pattern activity to simulate building a machine learning model without help, then they play a game called ""Green Glass Door"" as an example of supervised learning, and finally, they will sort several scenarios into “supervised” or “unsupervised” learning.",Esercizi,Media,30-60,Inglese,"['machine learning model without help', 'create “ mental ” models', '“ machine learning ” model', '“ unsupervised ” learning', '“ supervised ”']"
Innovations in AI,https://studio.code.org/s/aiml-2022/lessons/3,14+,"In this lesson, students explore an application of AI called Seeing AI and examine how it is supporting people with visual impairments. Then, students research other examples of how AI is impacting society, focusing on users who are impacted by the examples they find. Finally, students share their findings with each other.",Testo,Media,30-60,Inglese,"['ai called seeing ai', 'visual impairments', 'supporting people', 'students share', 'students research']"
Patterns in Data,https://studio.code.org/s/aiml-2022/lessons/4,14+,"In this lesson students will examine several apps that make decisions about what shoes to wear, ultimately building up to an understanding of how machine learning can help make this decision. Students are guided to the conclusion that surveying their users can help them make the best decision by looking for patterns in the data and basing their decisions on these patterns.",Testo,Media,30-60,Inglese,"['examine several apps', 'ultimately building', 'machine learning', 'lesson students', 'best decision']"
Classification Models,https://studio.code.org/s/aiml-2022/lessons/5,14+,"In this lesson students will participate in an unplugged activity simulating one of the machine learning algorithms computers use to separate data into groups to help make decisions. Students will be tasked with helping a computer learn to classify food as fruits or vegetables, graph 20 different fruits on two axes comparing “sweetness” to “easy to eat”, and then try to separate the data into groups - a fruit area, and a veggie area.",Testo,Media,30-60,Inglese,"['two axes comparing “ sweetness ”', 'machine learning algorithms computers use', 'unplugged activity simulating one', 'graph 20 different fruits', 'help make decisions']"
Introduction to AI Lab,https://studio.code.org/s/aiml-2022/lessons/6,14+,"In this lesson students will dive into the AI Lab tool for the first time, where they select features to train a model that predicts a given label. They start by exploring AI Lab and training a model to recognize shapes. Then they pretend they have been hired by several restaurants who would like to make recommendations to new customers based on survey data they’re collected, go through each dataset, and use data visualization tools to identify features with high relationships in the data.",Esercizi,Media,30-60,Inglese,"['use data visualization tools', 'new customers based', 'exploring ai lab', 'ai lab tool', 'survey data']"
Importing Models in App Lab,https://studio.code.org/s/aiml-2022/lessons/7,14+,"In this lesson students are introduced to importing their models into App Lab and linking their model to their screens. They help create a book recommendation app and learn how to add a welcome screen and events to their code. This lesson assumes students are already familiar with App Lab - for classrooms that have not seen App Lab before, consider extending this lesson and including additional videos or activities that are recommended in the lesson plan.",Esercizi,Media,30-60,Inglese,"['including additional videos', 'book recommendation app', 'seen app lab', 'lesson assumes students', 'app lab']"
Model Cards,https://studio.code.org/s/aiml-2022/lessons/8,14+,"In this lesson, students will investigate a model for bias and be introduced to a Model Card, which is a way of representing important information about a trained model that could help uncover bias. They will be investigating a Medical Priority app, which helps a hospital decide how soon to view patients based on their symptoms. As students go through the activity, they realize that the app is biased based on personal information and examine how this could happen.",Testo,Media,30-60,Inglese,"['could help uncover bias', 'view patients based', 'representing important information', 'medical priority app', 'could happen']"
Saving Models in AI Lab,https://studio.code.org/s/aiml-2022/lessons/9,14+,"Students complete the full process of training and saving a model, then importing into App Lab. For the first time, students are able to choose the label they would like to predict and spend time deciding the features they will use to help predict their label of choice. Students also create a model card for their models in order to save them and import it into App Lab",Esercizi,Media,30-60,Inglese,"['spend time deciding', 'students also create', 'first time', 'would like', 'students complete']"
 Model Cards in App Lab,https://studio.code.org/s/aiml-2022/lessons/10,14+,"In this lesson, students practice importing their models into App Lab, this time including models that have numerical data and using model cards to help improve the user experience of filling out their form. They will then learn how to view the model card within App Lab and use this to add more descriptive elements to an app. Next, they focus on improving the user experience by adding informational text to help guide users through completing the form and adding a style to their app to improve the user experience.",Testo,Media,30-60,Inglese,"['model card within app lab', 'using model cards', 'students practice importing', 'help guide users', 'time including models']"
 Numerical Models,https://studio.code.org/s/aiml-2022/lessons/11,14+,"In this lesson, students participate in an unplugged activity simulating a zombie outbreak. Students must predict which parts of town have the least amount of zombies using data from a neighboring town. Students will use degrees of similarity and averages to make predictions about the number of zombies at a particular location. Then, students are rescued and get to compare their predictions to the actual numbers as a way to discuss how accuracy is different for numerical data compared to categorical data.",Testo,Media,30-60,Inglese,"['unplugged activity simulating', 'numerical data compared', 'students must predict', 'zombies using data', 'categorical data']"
 Numerical Data in AI Lab,https://studio.code.org/s/aiml-2022/lessons/12,14+,"In this lesson, students will be introduced to numerical data which represents a range of values. Students are presented with a scenario where every feature and label is represented with numerical data, and they learn to use the new data visualization tools within AI Lab to help find patterns.",Esercizi,Media,30-60,Inglese,"['new data visualization tools within ai lab', 'help find patterns', 'numerical data', 'numerical data', 'every feature']"
 Customizing Apps,https://studio.code.org/s/aiml-2022/lessons/13,14+,"In this lesson, students will explore how to customize the code of their app to make additional changes to the design of their app. They will start by exploring a single-screen app and then practice expanding the app to two-screens and updating the code to use the new design mode elements. After this, students help create a Driver Alert app that requires changes to the code using new design mode elements. Using the skills from this lesson, students will be able to create multi-screen apps where questions can appear on multiple screens instead of a single screen.",Esercizi,Media,30-60,Inglese,"['code using new design mode elements', 'new design mode elements', 'make additional changes', 'multiple screens instead', 'driver alert app']"
 AI Code of Ethics,https://studio.code.org/s/aiml-2022/lessons/14,14+,"In small groups, students conduct research using articles and videos that expose ethical pitfalls in an Artificial Intelligence (AI) area of their choice. Afterward, each group develops at least one solution-oriented principle that addresses their chosen area. These principles are then assembled into a class-wide “Our AI Code of Ethics” resource (e.g. a slide presentation, document, or webpage) for AI creators and legislators everywhere.",Testo,Media,30-60,Inglese,"['students conduct research using articles', 'least one solution', 'expose ethical pitfalls', 'ethics ” resource', 'wide “']"
